"Story","Title","Result","Date","Stability","Duration (s)"
"buy an item in saucedemo.com","purchase an item in the website of saucedemo successfully","SUCCESS","2022-08-04T22:15:05.667-05:00[America/Bogota]","0.0","12.17"
"Login in the page saucedemo.com","Login to the saucedemo Successful site","SUCCESS","2022-08-04T22:15:21.358-05:00[America/Bogota]","0.0","4.46"
"Login in the page saucedemo.com","Section start with locked user","SUCCESS","2022-08-04T22:15:26.596-05:00[America/Bogota]","0.0","4.6"
